,emoji,count
14,😅,13365
38,😤,8409
52,😳,8021
11,😂,7565
8,💩,5631
46,😬,5122
50,😱,4703
47,😭,4577
24,😐,4032
21,😍,3502
53,😵,2927
36,😡,2783
25,😑,2024
35,😠,2020
34,😠,2020
3,❤,1960
18,😊,1904
51,😲,1665
6,💕,1430
29,😖,1421
48,😯,1385
17,😉,1235
22,😎,1184
10,😁,1057
15,😆,1040
23,😏,980
30,😘,905
20,😌,799
19,😋,774
7,💖,774
43,😩,556
61,🙀,544
16,😇,528
32,😜,526
12,😃,478
49,😰,465
5,💔,451
2,♥,427
40,😦,426
13,😄,414
9,😀,408
27,😔,349
59,😾,340
42,😨,323
41,😧,296
31,😛,264
4,🌞,258
37,😢,232
33,😝,219
57,😻,214
28,😕,175
1,☺,169
55,😹,158
45,😫,149
58,😼,131
44,😪,114
39,😥,69
54,😸,62
26,😓,60
0,☹,51
56,😺,41
60,😿,10
