,emoji,count
11,😂,24580
56,😺,22697
14,😅,21641
36,😡,12069
21,😍,11635
47,😭,9841
50,😱,8973
3,❤,7113
8,💩,6779
29,😖,6167
30,😘,5932
52,😳,5883
38,😤,4484
15,😆,4095
6,💕,4062
23,😏,3792
32,😜,3479
13,😄,3445
19,😋,3410
22,😎,3124
20,😌,3002
7,💖,2995
18,😊,2953
16,😇,2796
10,😁,2613
46,😬,2443
49,😰,2378
25,😑,2337
34,😠,2321
35,😠,2321
17,😉,1991
37,😢,1894
24,😐,1860
42,😨,1827
33,😝,1533
2,♥,1302
12,😃,1220
53,😵,1207
9,😀,1062
31,😛,940
1,☺,914
60,😿,890
27,😔,889
40,😦,876
43,😩,845
45,😫,720
26,😓,697
4,🌞,600
57,😻,511
5,💔,510
55,😹,456
48,😯,383
39,😥,369
61,🙀,330
51,😲,324
41,😧,224
58,😼,194
44,😪,191
59,😾,151
54,😸,125
28,😕,83
0,☹,73
